;text;label
0;The film was so boring that I almost fell asleep in the cinema. The plot was predictable and the acting was mediocre at best.;0
1;I was really disappointed with this film. The trailer made it seem like it was going to be exciting and action-packed, but it was actually slow and dull. The characters were uninteresting and the dialogue was dull.;0
2;This film was a waste of my time and money. The story was unoriginal and the acting was wooden. I found myself checking my watch constantly during the movie, waiting for it to be over.;0
3;Unwatchable. Terrible acting, terrible story, terrible everything.;0
4;Save yourself the time and don't bother watching this trainwreck of a film. It's a complete mess.;0
5;I would rather stare at a wall for two hours than sit through this film again. That's how bad it was.;0
6;The film was a total disaster. The story was poorly written and made no sense. The acting was terrible and the special effects were laughable. I regret wasting my time and money to see this movie.;0
7;This film was a complete letdown. The trailer promised an exciting and thrilling experience, but the actual movie was dull and boring. The pacing was slow and the characters were forgettable. I would not recommend this film to anyone.;0
8;I had high hopes for this film, but it was a huge disappointment. The plot was convoluted and confusing, and the dialogue was cringeworthy. The lead actor was miscast and gave a wooden performance. Overall, this film was a waste of time and money.;0
9;This film was an absolute disaster. The plot was boring and uninspired, the characters were one-dimensional and uninteresting, and the acting was wooden and unconvincing.;0
10;I couldn't believe how terrible this film was. It was a complete waste of time and money. The special effects were laughable, the script was poorly written, and the pacing was all over the place. ;0
11;Save yourself the trouble and skip this movie. It was utter garbage from start to finish. The plot was predictable, the dialogue was cringe-worthy, and the performances were lackluster at best.;0
12;The movie drags on and on, with no interesting plot or character development. It's a complete waste of time.;0
13;The special effects are mediocre at best, and the acting is wooden. Watching this film was a painful experience.;0
14;The movie is a predictable, cliched mess that fails to deliver any thrills or excitement. Save your money and skip this one.;0
15;The film had a lackluster plot and the characters were unrelatable. I found myself bored throughout the entire film.;0
16;The acting was subpar and the special effects were unimpressive. It was clear that the filmmakers were trying too hard to be edgy and different.;0
17;The film was a complete waste of time and money. The storyline was confusing and the dialogue was cringeworthy. Save yourself the trouble and skip this one.;0
18;I wasted two hours of my life watching this desperately boring film. The plot was unoriginal and the acting was subpar at best. I wouldn't recommend this film to anyone.;0
19;The special effects were cheap and unconvincing. The dialogue was clichéd and the pacing was slow. I found myself checking my watch constantly, waiting for the film to end.;0
20;This film was an utter disappointment. The story was poorly constructed and the characters lacked depth. The film felt like a cheap knockoff of better movies. I regret spending money on this.;0
21;The film was a complete waste of time. The plot was predictable and boring, and the characters were flat and uninteresting. I wouldn't recommend this movie to anyone.;0
22;The acting was terrible, the special effects were cheap and unconvincing, and the script was full of plot holes. Save your money and skip this film.;0
23;I was completely disappointed by this film. The trailer made it look promising, but the actual movie was slow-paced and unexciting. The ending was unsatisfying and left me feeling like I had wasted my time.;0
24;What a waste of time! This film had no plot and the acting was horrible. I couldn't wait for it to be over.;0
25;I don't understand how anyone could enjoy this film. The dialogue was cringe-worthy and the special effects were laughable.;0
26;I can't believe I paid money to see this. The storyline was predictable and the characters were unlikable. Save yourself the trouble and skip this one.;0
27;This film is a complete waste of time and money. The plot is predictable, the acting is wooden, and the special effects are laughable.;0
28;I cannot believe I sat through this movie. It was unoriginal, poorly executed, and lacked any depth whatsoever. Save your money and skip this one.;0
29;I wish I could give this film zero stars. It was a disaster from start to finish. The dialogue was cringeworthy, the pacing was slow, and the ending was unsatisfying.;0
30;The film was a complete waste of time. The plot was convoluted and made no sense, the acting was wooden and unconvincing, and the special effects were underwhelming.;0
31;I was highly disappointed with this film. The characters were poorly written and lacked depth, and the pacing was incredibly slow. There was no suspense or excitement to be found in this film.;0
32;I cannot recommend this film to anyone. The dialogue was cringeworthy and the story was cliché. I found myself checking my watch multiple times throughout the film, hoping it would end soon.;0
33;Waste of time and money, the acting was terrible and the plot was unoriginal.;0
34;Absolutely boring, I was checking my watch every five minutes waiting for it to end.;0
35;The worst film I've seen in years, not even the special effects could save this disaster.;0
36;The film was a total disaster with a weak plot, terrible acting, and unconvincing special effecreview_list_synthts. It left me feeling like I had wasted my time and money.;0
37;I found the film to be incredibly boring and lacking in any real substance. The characters were one-dimensional and unlikable, and the story was predictable and unoriginal.;0
38;The film was a complete letdown. It promised so much but delivered so little. The pacing was slow, the dialogue was stilted, and the ending was unsatisfying.;0
39;This film was a complete disaster. The plot was convoluted and made no sense, the acting was wooden and unconvincing, and the special effects were laughably bad. Save yourself the trouble and skip this one.;0
40;I cannot overstate how terrible this film was. From start to finish, it was a train wreck of bad writing, bad acting, and bad direction. It was painful to sit through and I regret wasting my time on it.;0
41;This film was an insult to anyone who considers themselves a fan of cinema. It was poorly made, poorly acted, and thoroughly unenjoyable. The fact that it was even released to theaters is a travesty.;0
42;This film was a complete waste of time. The plot was convoluted and made no sense. The acting was wooden and uninspired. Save yourself the trouble and skip this one.;0
43;I can't believe I actually paid money to see this film. The special effects were mediocre at best and the storyline was predictable. The characters were one-dimensional and unlikable. Don't waste your time or money.;0
